case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Simul_frac_of_import
pv06_weighted_no_export,B,242.03226949001305,7.054910843815524,232.60785479325676,0.0,0.056370739069323904,2.4258745920100644,0.0,0.0,0.0,0.0,2.347173751057994,58.15196369831419,0.0,0.10915396108584656,1.746463377373545,0.0,1.746463377373545,0.0,0.0,,,,,
pv06_weighted_no_export,C,117.94368032413539,4.703273895877015,110.87084619532175,0.0,0.055792482701337576,2.425352715637957,0.0,0.0,0.0,0.0,2.3983810859447505,27.717711548830437,0.0,0.09034967408351256,1.445594785336201,0.0,1.445594785336201,0.0,0.0,,,,,
pv06_weighted_no_export,D,59.43046312832059,2.3516369479385006,54.70648533584331,0.0,0.027111617466339676,2.3994682347633716,1.5772758271475826e-05,6.707140013811482e-06,0.0,0.0,2.448795398716546,13.676621333960828,-4.336808689942018e-19,0.045530993191195655,0.7284958910591305,-6.938893903907228e-18,0.7284958910591305,0.0,-1.734723475976807e-18,,,,,
pv06_weighted_no_export,_COMMUNITY,1110.126662942469,23.516369479385073,1077.1238885326677,0.0,0.13927483923700115,9.625695542411393,1.5772758271475826e-05,6.707140013811463e-07,0.0,0.0,9.499350235719291,269.2809721331669,0.0,0.29741841545213943,4.758694647234231,0.0,4.758694647234231,0.0,0.0,1077.1238885326677,0.0,1.5772758271475826e-05,6.707140013811463e-07,0.0
pv07_dyn_instant_no_export,A,690.7202500000001,14.369312876200912,673.9759371237991,0.0,0.0,2.3750000000000004,0.0,0.0,0.0,0.0,2.305,168.49398428094977,0.0,0.16133115683021668,2.581298509283467,0.0,2.581298509283467,0.0,0.0,,,,,
pv07_dyn_instant_no_export,B,242.03226949001305,3.847897675713688,235.80937181429937,0.0,0.0,2.3749999999999996,0.0,0.0,0.0,0.0,2.347173751057994,58.95234295357484,0.0,0.10915396108584656,1.746463377373545,0.0,1.746463377373545,0.0,0.0,,,,,
pv07_dyn_instant_no_export,C,117.94368032413539,3.5236381941762156,112.04504212995914,0.0,0.0,2.375,0.0,0.0,0.0,0.0,2.3983810859447505,28.011260532489786,0.0,0.08953456935212645,1.4325531096340232,0.0,1.4325531096340232,0.0,0.0,,,,,
pv07_dyn_instant_no_export,D,59.43046312832059,1.775520733294246,55.279942395026325,0.0,0.0,2.374999999999999,0.0,0.0,0.0,0.0,2.448795398716546,13.819985598756581,0.0,0.04511543906352682,0.7218470250164292,0.0,0.7218470250164292,0.0,0.0,,,,,
pv07_dyn_instant_no_export,_COMMUNITY,1110.126662942469,23.516369479385062,1077.110293463084,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.499350235719291,269.277573365771,0.0,0.29741841545213943,4.758694647234231,0.0,4.758694647234231,0.0,0.0,1077.110293463084,0.0,0.0,0.0,0.0
pv08_dyn_mean_no_export,A,690.7202500000001,14.63187323403204,673.713376765968,0.0,0.0,2.375000000000002,0.0,0.0,0.0,0.0,2.305,168.428344191492,0.0,0.16247625827671536,2.5996201324274457,0.0,2.5996201324274457,0.0,0.0,,,,,
pv08_dyn_mean_no_export,B,242.03226949001305,5.127090867428544,234.5326365634016,0.0,0.0,2.3749999999999996,0.002457940817122175,0.0004794026243492224,0.0,0.0,2.347173751057994,58.6331591408504,0.0,0.10915396108584656,1.746463377373545,0.0,1.746463377373545,0.0,0.0,,,,,
pv08_dyn_mean_no_export,C,117.94368032413539,2.4984600918504194,113.0715623889115,0.0,0.0,2.375,0.001342156626569525,0.0005371935421131708,0.0,0.0,2.3983810859447505,28.267890597227876,0.0,0.09093223120527137,1.454915699284342,0.0,1.454915699284342,0.0,0.0,,,,,
pv08_dyn_mean_no_export,D,59.43046312832059,1.2589452860740589,55.797194139524066,0.0,0.0,2.374999999999999,0.000676297277552825,0.0005371935421131884,0.0,0.0,2.448795398716546,13.949298534881017,0.0,0.045819704785953944,0.7331152765752631,0.0,0.7331152765752631,0.0,0.0,,,,,
pv08_dyn_mean_no_export,_COMMUNITY,1110.126662942469,23.516369479385062,1077.1147698578052,0.0,0.0,9.5,0.004476394721244525,0.00019035228737873954,0.0,0.0,9.499350235719291,269.2786924644513,0.0,0.2974184154521395,4.758694647234232,0.0,4.758694647234232,0.0,0.0,1077.1147698578052,0.0,0.004476394721244525,0.00019035228737873954,0.0
