case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv11_no_sharing_export,Apt8,265.99010256848595,50.053528979959594,217.03805832451513,0.0,11.29727934347457,10.195794607485798,0.0,0.0,1.0,0.18403708924232196,5.0,1.0,5.0,58.600275747619094,0.0,0.11739065714325361,1.73912084656672,0.0,1.73912084656672,0.0,0.0,,,,,,,,,,,,,,
b8_pv11_no_sharing_export,_COMMUNITY,1248.651446164792,411.7021268864032,878.7091153583972,26.248581770472526,159.08937753370145,143.57816322416554,0.0,0.0,0.9362437547530207,0.2962734972539097,40.0,11.0727875850858,42.19787173402216,235.67654624053893,-0.013408005472779413,0.3752565784575566,5.559356717889727,-0.9423102561231489,5.559356717889727,0.9561511774387264,20.479119592207873,878.7091153583972,26.248581770472526,0.0,0.0,0.9362437547530207,0.2962734972539097,0.02330591459023968,29.459568280067366,25.688420509358924,-1.519979123796043,69.33823736133189,70.85821648512794,0.8719890347727859,0.4906601809556595
b8_pv12_nothing_export,Apt1,42.664936467960885,23.516369479385112,34.3494266870312,15.200859698455425,0.0,0.0,0.0,0.0,0.35360516801792974,0.19490266409219187,0.0,0.0,0.0,8.3622936235911,-0.004414912338435407,0.04802273712931124,0.7114479574712775,-0.2943274892290272,0.7114479574712775,0.2943274892290272,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,Apt2,242.03226949001305,58.200038709141474,201.30834379111195,17.4761130102404,0.0,0.0,0.0,0.0,0.6997233438696076,0.1682582483100729,0.0,0.0,0.0,53.304686042985814,-0.010791019242781804,0.1178862779727143,1.746463377373545,-0.7194012828521202,1.746463377373545,0.7194012828521202,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,Apt3,117.94368032413539,57.27687747950026,79.71413055526372,19.047327710628597,0.0,0.0,0.0,0.0,0.6674517091570548,0.3241339397228269,0.0,0.0,0.0,20.37997558728349,-0.009816840447600469,0.08257533928984301,1.223338359849526,-0.6544560298400313,1.223338359849526,0.6544560298400313,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,Apt4,59.43046312832059,87.78344925757784,27.95436575612821,56.307351885385444,0.0,0.0,0.0,0.0,0.3585652835289478,0.5296290103651063,0.0,0.0,0.0,4.169237641031491,-0.016058908235052988,0.03378857312222247,0.5005714536625551,-1.070593882336866,0.5005714536625551,1.070593882336866,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,Apt5,149.81598662198513,24.9216263231729,128.84882727080054,3.9544669719883196,0.0,0.0,0.0,0.0,0.8413238798821353,0.13995275019673842,0.0,0.0,0.0,34.551915344796846,-0.00348953519678586,0.1185395870956447,1.756142031046588,-0.232635679785724,1.756142031046588,0.232635679785724,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,Apt6,278.96668994884067,22.36821035364288,258.7503455260048,2.1518659308070673,0.0,0.0,0.0,0.0,0.9037980286850882,0.07246866794936448,0.0,0.0,0.0,69.73348133617287,-0.00330418951932606,0.1358758682291909,2.0129758256176427,-0.220279301288404,2.0129758256176427,0.220279301288404,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,Apt7,91.80731761505041,87.5820263040232,64.12798606422136,59.90269475319416,0.0,0.0,0.0,0.0,0.3160389490732478,0.30149374004029766,0.0,0.0,0.0,13.720394552148118,-0.018233801831074276,0.04051775325969226,0.6002630112547,-1.2155867887382852,0.6002630112547,1.2155867887382852,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,Apt8,265.99010256848595,50.053528979959594,227.23385293200096,11.29727934347457,0.0,0.0,0.0,0.0,0.7742960471778569,0.1457056080742937,0.0,0.0,0.0,60.67530353103179,-0.00973461650450357,0.11739065714325361,1.73912084656672,-0.6489744336335714,1.73912084656672,0.6489744336335714,0.0,,,,,,,,,,,,,,
b8_pv12_nothing_export,_COMMUNITY,1248.651446164792,411.7021268864032,1022.2872785825627,185.33795930417398,0.0,0.0,0.0,0.0,0.5498251109222169,0.18128691419651366,0.0,0.0,0.0,264.8972876590416,-0.060225132823530446,0.3859110068795144,5.717200101918731,-4.068424021674003,5.717200101918731,4.188689065275744,89.81015919518379,1022.2872785825627,185.33795930417398,0.0,0.0,0.5498251109222169,0.18128691419651366,0.08785217333400522,33.11216095738019,23.714596740721507,4.169237641031491,69.73348133617287,65.56424369514139,0.7161899451758943,0.40272192723039135
b8_pv13_optimal_with_degradation_export,Apt1,42.664936467960885,21.310723854699454,22.492744142282014,0.0,11.677246451492474,10.538714922471971,0.0,0.0,1.0,0.47280493059745027,5.0,0.9999999999999998,5.029536118725719,6.073040918416145,-1.78368938990025e-13,0.04802273712931124,0.7114479574712775,-2.6425027998522223e-12,0.7114479574712775,0.0,-6.703543771550123e-13,,,,,,,,,,,,,,
b8_pv13_optimal_with_degradation_export,Apt2,242.03226949001305,65.13407850616306,178.14239787531238,0.0,12.761096322693987,11.51688943123175,0.0,0.0,1.0,0.26397253452741326,5.0,1.0,5.1155210465011285,48.09844742633435,-0.0,0.1178862779727143,1.746463377373545,-0.0,1.746463377373545,0.0,0.0,,,,,,,,,,,,,,
b8_pv13_optimal_with_degradation_export,Apt3,117.94368032413539,57.8574250172573,61.25118614702045,0.0,11.948008616836448,10.783077776694771,0.0,0.0,1.0,0.48067428472056656,5.0,1.0,5.0,16.537820259695522,-3.956834859764059e-14,0.09891976576839671,1.465478011383655,-5.861977570020828e-13,1.465478011383655,0.0,-1.465494392505207e-13,,,,,,,,,,,,,,
