,PV_total,Load_total,Alloc_total__equal,Alloc_total__mean_load,Alloc_total__instant_load,Alloc_total__fixed_shares,Alloc_total__hierarchical,Alloc_total__dynamic_windows
46,1.56350246289787,2.6018874342990026,1.56350246289787,1.56350246289787,1.56350246289787,1.56350246289787,1.56350246289787,1.56350246289787
47,1.7090186567952925,2.4587199170307574,1.7090186567952923,1.7090186567952923,1.7090186567952927,1.7090186567952925,1.7090186567952925,1.7090186567952923
48,1.827980800711435,2.4800943873721124,1.8279808007114349,1.827980800711435,1.827980800711435,1.827980800711435,1.827980800711435,1.827980800711435
49,1.6824646068140123,2.555712702834225,1.6824646068140123,1.6824646068140123,1.6824646068140123,1.6824646068140123,1.6824646068140123,1.682464606814012
50,1.887461872669505,2.5648468290088773,1.8874618726695047,1.887461872669505,1.887461872669505,1.8874618726695047,1.8874618726695052,1.8874618726695047
51,2.11476454050928,2.1263160789250373,2.11476454050928,2.11476454050928,2.11476454050928,2.11476454050928,2.11476454050928,2.11476454050928
52,2.14981588648457,2.1204726985439475,2.14981588648457,2.14981588648457,2.14981588648457,2.14981588648457,2.14981588648457,2.14981588648457
53,2.0510348205542024,1.885032641728085,2.0510348205542024,2.0510348205542024,2.0510348205542024,2.0510348205542024,2.0510348205542024,2.0510348205542024
54,1.48915112295028,1.4730435702276352,1.4891511229502798,1.4891511229502798,1.48915112295028,1.4891511229502803,1.48915112295028,1.48915112295028
55,1.0472917312617525,1.7460707875450767,1.0472917312617525,1.0472917312617525,1.0472917312617525,1.0472917312617525,1.0472917312617525,1.0472917312617525
56,0.774316097454176,1.68852886810813,0.774316097454176,0.774316097454176,0.774316097454176,0.7743160974541761,0.774316097454176,0.774316097454176
57,0.6999647575065866,1.76786927339599,0.6999647575065866,0.6999647575065866,0.6999647575065866,0.6999647575065866,0.6999647575065866,0.6999647575065866
58,0.7243944834893659,1.997821668708685,0.7243944834893659,0.7243944834893659,0.7243944834893659,0.7243944834893659,0.7243944834893659,0.7243944834893659
59,0.7998079854362069,2.0542458092872424,0.7998079854362068,0.7998079854362069,0.7998079854362069,0.799807985436207,0.7998079854362069,0.7998079854362069
60,0.8465431134032617,1.9795120496764576,0.8465431134032617,0.8465431134032617,0.8465431134032617,0.8465431134032617,0.8465431134032617,0.8465431134032617
61,0.6468566575440235,1.3815304319082675,0.6468566575440235,0.6468566575440235,0.6468566575440235,0.6468566575440235,0.6468566575440235,0.6468566575440235
62,0.4779728996630716,1.3763944080996249,0.4779728996630716,0.47797289966307155,0.47797289966307166,0.4779728996630716,0.4779728996630716,0.47797289966307155
63,0.3462648117559142,0.4642855261481117,0.34626481175591417,0.3462648117559142,0.3462648117559142,0.3462648117559142,0.34626481175591417,0.3462648117559142
64,0.2952810357918532,0.44715519524144165,0.29528103579185316,0.2952810357918532,0.2952810357918532,0.2952810357918532,0.2952810357918533,0.29528103579185316
65,0.2602296898165609,0.5556791172100732,0.2602296898165609,0.2602296898165609,0.2602296898165609,0.2602296898165609,0.2602296898165609,0.2602296898165609
66,0.2326134778360282,0.5925231682445257,0.23261347783602818,0.2326134778360282,0.23261347783602823,0.2326134778360282,0.2326134778360282,0.23261347783602818
67,0.1880026738674747,0.5688532861526447,0.1880026738674747,0.1880026738674747,0.1880026738674747,0.1880026738674747,0.1880026738674747,0.18800267386747468
68,0.1327702499064086,0.6312851923295573,0.1327702499064086,0.1327702499064086,0.13277024990640862,0.1327702499064086,0.1327702499064086,0.1327702499064086
69,0.0775378259453427,0.710387755895451,0.0775378259453427,0.0775378259453427,0.0775378259453427,0.0775378259453427,0.0775378259453427,0.0775378259453427
70,0.0350513459752918,0.6758195477462634,0.0350513459752918,0.0350513459752918,0.0350513459752918,0.0350513459752918,0.0350513459752918,0.0350513459752918
71,0.0,0.7423658377126747,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.7515614731544947,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.3897856404571275,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.39925806760120996,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.36837529821917275,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.127043688480145,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.2190699352624549,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.2253438805137307,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.18326146163136162,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.20426687636970192,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.22006794372762858,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.2166849340333131,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.2889923434248267,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.2609441175955932,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.23031553679790343,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.2460619091932624,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.239299669856576,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.2617813070069812,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.1517453679234417,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.1338154165435697,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.1382490466552704,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.1186583450618257,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.1440535980808596,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.17603841700893258,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.2132190719712284,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.21976980892476639,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.2673441156338649,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.23874230640010743,0.0,0.0,0.0,0.0,0.0,0.0
