t,ag1,ag2,ag3
148,0.11886665880481,0.367160797668475,0.1850081003749707
149,0.1040736800505762,0.367160797668475,0.1850081003749707
150,0.095185590944602,0.6603355294274625,0.3327354736269675
151,0.105365374661133,0.6470754133385712,0.3260538537374378
152,0.0979227533336392,0.390108347522755,0.1965711066484065
153,0.0949703085095092,0.31005430908502307,0.1562327980033674
154,0.1126849774542882,0.261198575417925,0.1316149560780518
155,0.0989376562419337,0.27375469915494616,0.13794184232356232
156,0.2824505548417525,0.19612331539972863,0.0988242814912602
157,0.3376939155505466,0.16914660505236337,0.0852310276160511
158,0.261534940791935,0.1309995392289059,0.06600916017352158
159,0.19751118728606928,0.09893085202566972,0.04985011776304349
160,0.14520419912768226,0.07273094417988853,0.03664828572833917
161,0.12804750701173145,0.06413737440647237,0.03231808482095618
162,0.11005390308524624,0.055124606107523594,0.02777665460101788
163,0.09666331411669904,0.04841742969900355,0.024396985600133543
164,0.07866971019021392,0.03940466140005483,0.01985555538019526
165,0.053143899968921215,0.02661910637131369,0.013413061347259593
166,0.03222110470556631,0.016139143233001165,0.008132328533377838
167,0.01297213306327993,0.0064975771457537095,0.003274054344606659
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.018412059831752214,0.00922236756171497,0.004647044876215917
