t,ag1,ag2,ag3
148,0.11886665880481,0.367160797668475,0.1850081003749707
149,0.1040736800505762,0.367160797668475,0.1850081003749707
150,0.095185590944602,0.6603355294274625,0.3327354736269675
151,0.105365374661133,0.6403937934490413,0.3327354736269675
152,0.0979227533336392,0.390108347522755,0.1965711066484065
153,0.0949703085095092,0.26971600043998395,0.1965711066484065
154,0.1126849774542882,0.1964067657479884,0.1964067657479884
155,0.0989376562419337,0.20584827073925424,0.20584827073925424
156,0.19246605057758043,0.19246605057758043,0.19246605057758043
157,0.19735718273965366,0.19735718273965366,0.19735718273965366
158,0.15284788006478747,0.15284788006478747,0.15284788006478747
159,0.11543071902492748,0.11543071902492748,0.11543071902492748
160,0.08486114301196997,0.08486114301196997,0.08486114301196997
161,0.07483432207971999,0.07483432207971999,0.07483432207971999
162,0.0799033419960995,0.07517300814333,0.0378788136543582
163,0.06579945788073896,0.06579945788073896,0.0378788136543582
164,0.045976642323488,0.045976642323488,0.045976642323488
165,0.03105868922916483,0.03105868922916483,0.03105868922916483
166,0.02186669856787025,0.02186669856787025,0.0127591793362048
167,0.007581254851213432,0.007581254851213432,0.007581254851213432
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.010760490756561034,0.010760490756561034,0.010760490756561034
