t,ag1,ag2,ag3
148,0.11886665880481,0.367160797668475,0.1850081003749707
149,0.1040736800505762,0.367160797668475,0.1850081003749707
150,0.095185590944602,0.6603355294274625,0.3327354736269675
151,0.10345250239525851,0.6483473642026367,0.3266947751392467
152,0.0979227533336392,0.390108347522755,0.1965711066484065
153,0.07819674095236628,0.3212077740227423,0.16185290062279115
154,0.06797371701519826,0.29092901135111227,0.14659578058395448
155,0.06129291408142862,0.29878630381187427,0.15055497982713928
156,0.1557598173552071,0.2803654239241165,0.1412729104534177
157,0.18952633067991895,0.2676695911214392,0.1348756264176029
158,0.16887276391753916,0.19261459740305112,0.09705627887377213
159,0.11670772832408613,0.15266053972082735,0.07692388902986895
160,0.10886176937141129,0.09689658542807249,0.04882507423642617
161,0.11943819774244732,0.06986207362420382,0.035202694872508836
162,0.14531965448445927,0.03167489450660974,0.015960614802718678
163,0.13616808161382182,0.022149014369297663,0.01116063343271663
164,0.09221651794160238,0.03039680753960447,0.015316601489257144
165,0.06076693180677332,0.02155022534567914,0.010858910535042034
166,0.051720538373822976,0.003173132932367897,0.0015989051657544352
167,0.02110544022173308,0.0010893921600332445,0.0005489321718739727
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.01429796865902286,0.011958003346368115,0.006025500264292125
