t,Equal,Proportional,InstantLoad
126,0.22078152319289768,0.22078152319289768,0.22078152319289768
127,0.1955627236534555,0.1955627236534555,0.1955627236534555
128,0.1988571723052077,0.1988571723052077,0.1988571723052077
129,0.2001796215493492,0.2001796215493492,0.2001796215493492
130,0.1708080550143462,0.1708080550143462,0.1708080550143462
131,0.1620227877648975,0.1620227877648975,0.1620227877648975
132,0.13289623863165992,0.1328962386316599,0.13289623863165992
133,0.0999197288192965,0.0999197288192965,0.09991972881929652
134,0.1189533480996534,0.11895334809965338,0.11895334809965341
135,0.09531702909512611,0.0953170290951261,0.09531702909512611
136,0.06646991551186093,0.0664699155118609,0.06646991551186093
137,0.07456349560328632,0.07456349560328632,0.07456349560328632
138,0.033114667638666495,0.03311466763866647,0.033114667638666495
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.33548623267131017,0.33548623267131006,0.33548623267131006
143,0.19520185809845647,0.19520185809845647,0.19520185809845647
144,0.1915743671069141,0.1915743671069141,0.1915743671069141
145,0.0945501989165427,0.0945501989165427,0.0945501989165427
146,0.0015807961231637524,0.0015807961231639744,0.0015807961231637524
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.019941735978421304,0.019941735978421082,0.019941735978421082
152,0.0,0.0,0.0
153,0.12039234708277102,0.12039234708277102,0.12039234708277091
154,0.3325031567744554,0.3325031567744554,0.3325031567744554
155,0.31362014679192374,0.31362014679192374,0.31362014679192374
156,0.46963972421442857,0.46963972421442857,0.46963972421442857
157,0.5324987589952014,0.5324987589952014,0.5324987589952014
158,0.5342075500433466,0.5342075500433465,0.5342075500433466
159,0.5996504808470365,0.5996504808470364,0.5996504808470365
160,0.24542239566949864,0.24542239566949858,0.24542239566949858
161,0.3870499144779038,0.3870499144779038,0.3870499144779038
162,0.2649791190225655,0.26497911902256543,0.2649791190225655
163,0.4057239712589246,0.4057239712589246,0.4057239712589246
164,0.6897068607416972,0.6897068607416972,0.6897068607416972
165,0.6954330900056992,0.6954330900056992,0.6954330900056992
166,0.3943152198927057,0.3943152198927057,0.3943152198927057
167,0.5059040094138483,0.5059040094138483,0.5059040094138483
168,0.9172057752541072,0.9172057752541072,0.9172057752541072
169,0.8070119231201772,0.8070119231201772,0.8070119231201772
170,0.5049240970998359,0.5049240970998359,0.5049240970998359
171,0.4174271645514059,0.4174271645514059,0.4174271645514059
172,0.3569152372416733,0.3569152372416733,0.3569152372416733
173,0.3755217905604083,0.3755217905604083,0.3755217905604083
174,0.38540032802766644,0.38540032802766644,0.38540032802766644
175,0.5769401859930889,0.5769401859930889,0.5769401859930889
176,0.6863813981249872,0.6863813981249872,0.6863813981249872
177,0.5999916323856047,0.5999916323856047,0.5999916323856047
178,0.6846963477519112,0.6846963477519112,0.6846963477519112
179,0.7092077907189037,0.7092077907189037,0.7092077907189037
180,0.6192172128154855,0.6192172128154855,0.6192172128154855
181,0.481497963623263,0.481497963623263,0.481497963623263
182,0.3110520042449899,0.3110520042449899,0.3110520042449899
183,0.2227554512233574,0.2227554512233574,0.2227554512233574
184,0.2218503752644719,0.2218503752644719,0.2218503752644719
185,0.1993994927476514,0.1993994927476514,0.1993994927476514
186,0.1853834541549514,0.1853834541549514,0.1853834541549514
187,0.2044205723438719,0.2044205723438719,0.2044205723438719
188,0.1593775571217028,0.1593775571217028,0.1593775571217028
189,0.17097205398312929,0.17097205398312929,0.17097205398312929
190,0.2556898065468579,0.2556898065468579,0.2556898065468579
191,0.34069561377493024,0.34069561377493024,0.34069561377493024
192,0.2647610862432717,0.2647610862432717,0.2647610862432717
193,0.1482010249573132,0.1482010249573132,0.1482010249573132
194,0.4207499249958652,0.4207499249958652,0.4207499249958652
195,0.4093399559359477,0.4093399559359477,0.4093399559359477
196,0.40779155270641376,0.40779155270641376,0.40779155270641376
197,0.3997030840736413,0.3997030840736413,0.3997030840736413
198,0.1569768442730018,0.1569768442730018,0.1569768442730018
