,PV_total,Load_total,Alloc_total__Equal,Alloc_total__Proportional,Alloc_total__InstantLoad,Alloc_total__FixedCustom,Alloc_total__Hierarchical(ILxFix)
61,0.5847348499758512,1.9795120496764576,0.5847348499758511,0.5847348499758513,0.5847348499758512,0.5847348499758512,0.5847348499758512
62,0.4468049230053867,1.3815304319082675,0.44680492300538666,0.44680492300538677,0.4468049230053867,0.44680492300538666,0.44680492300538666
63,0.33015142093994093,1.3763944080996249,0.3301514209399409,0.33015142093994093,0.33015142093994093,0.33015142093994093,0.330151420939941
64,0.23917636272537943,0.4642855261481117,0.23917636272537943,0.23917636272537943,0.23917636272537945,0.23917636272537943,0.23917636272537943
65,0.20396021115845242,0.44715519524144165,0.20396021115845242,0.20396021115845245,0.20396021115845242,0.20396021115845242,0.20396021115845245
66,0.17974910695618992,0.5556791172100732,0.1797491069561899,0.17974910695618992,0.1797491069561899,0.17974910695618992,0.1797491069561899
67,0.1606736915241044,0.5925231682445257,0.1606736915241044,0.1606736915241044,0.16067369152410443,0.1606736915241044,0.1606736915241044
68,0.1298595589030434,0.5688532861526447,0.1298595589030434,0.1298595589030434,0.1298595589030434,0.1298595589030434,0.1298595589030434
69,0.0917087280388724,0.6312851923295573,0.0917087280388724,0.09170872803887241,0.0917087280388724,0.0917087280388724,0.0917087280388724
70,0.0535578971747014,0.710387755895451,0.0535578971747014,0.053557897174701406,0.053557897174701406,0.0535578971747014,0.0535578971747014
71,0.024211104202262197,0.6758195477462634,0.024211104202262197,0.0242111042022622,0.024211104202262197,0.024211104202262197,0.0242111042022622
72,0.0,0.7423658377126747,0.0,0.0,0.0,0.0,0.0
73,0.0,0.7515614731544947,0.0,0.0,0.0,0.0,0.0
74,0.0,0.3897856404571275,0.0,0.0,0.0,0.0,0.0
75,0.0,0.39925806760120996,0.0,0.0,0.0,0.0,0.0
76,0.0,0.36837529821917275,0.0,0.0,0.0,0.0,0.0
77,0.0,0.127043688480145,0.0,0.0,0.0,0.0,0.0
78,0.0,0.2190699352624549,0.0,0.0,0.0,0.0,0.0
79,0.0,0.2253438805137307,0.0,0.0,0.0,0.0,0.0
