case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv01_equal_export__with_deg,Apt6,91.80731761505041,51.4627658608004,43.8741290819736,0.8902045538720403,27.070489988221077,24.431117214369518,0.0,0.0,0.9827019683263835,27.960694542093115,0.9681622875092788,0.5221064047863968,1.2,0.12,2.4,8.026007096273784,-0.005633821028922484,0.036015780675282,0.6002630112547,-0.3755880685948323,0.6002630112547,0.3755880685948323,-8.673617379884037e-18,,,,,,,,,,,,,,,,
b8_pv01_equal_export__with_deg,Apt7,265.99010256848595,51.4627658608004,215.6950891945229,0.0,11.97694858294709,10.80919609610975,0.0,0.0,1.0,11.97694858294709,1.0,0.18908603323318515,2.4,0.24,2.845414666151387,44.66687218453743,0.0,0.1043472507940032,1.73912084656672,0.0,1.73912084656672,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv01_equal_export__with_deg,Apt8,42.664936467960885,51.4627658608004,21.074320577861744,28.646410002981327,12.571691976614666,11.345952008894734,0.0,0.0,0.4433565797752521,41.21810197959599,0.30500414557754196,0.5060505810506141,1.2,0.12,1.39234147161278,1.2316202807217653,-0.010327233481705509,0.024900678511494717,0.7114479574712775,-0.6884822321137006,0.7114479574712775,0.6884822321137006,-1.170938346284345e-17,,,,,,,,,,,,,,,,
b8_pv01_equal_export__with_deg,_COMMUNITY,1248.651446164792,411.7021268864032,887.6458395095411,38.70562957189101,122.983493941142,110.99260328188063,0.0,0.0,0.9059863259278944,161.689123513033,0.7606169869009703,0.28911639654450605,13.739999999999998,1.380893707226325,14.787902699270457,176.30057401965854,-0.018385533018108517,0.2897646158170714,5.717200101918731,-1.2257022012072345,5.717200101918731,1.302569518003235,20.97687695204561,887.6458395095411,38.70562957189101,0.0,0.0,0.9059863259278944,161.689123513033,0.7606169869009703,0.28911639654450605,0.023632034329858574,22.037571752457318,17.590025921014316,1.2316202807217653,46.56815836061335,45.33653807989159,0.798183489478732,0.4447078833265897
b8_pv02_weighted_export__no_deg,Apt1,242.03226949001305,102.9255317216008,143.89066501331047,0.15843636916802734,47.44093205877138,42.81544118304117,0.0,0.0,0.9984606698987324,47.59936842793941,0.9966714606852843,0.4054897501209118,1.78,0.1799999999999997,3.55,27.30986067549049,-0.00362139876068401,0.10478780264241269,1.746463377373545,-0.2414265840456007,1.746463377373545,0.2414265840456007,-9.71445146547012e-17,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__no_deg,Apt2,117.94368032413539,61.755319032960486,58.289031609345905,0.0,21.545336596625734,19.444666278454726,0.0,0.0,1.0,21.545336596625734,1.0,0.5057892762956462,1.78,0.1799999999999999,3.55,11.595482894256065,-8.326672684688674e-19,0.06950824028820311,1.158470671470052,-1.3877787807814457e-17,1.158470671470052,0.0,-7.806255641895632e-18,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__no_deg,Apt3,59.43046312832059,41.17021268864032,19.94060704918062,0.0,17.23442676410614,15.554070154605787,0.0,0.0,1.0,17.23442676410614,1.0,0.6644716194432909,1.2,0.1199999999999999,2.4,3.754587165334684,-4.163336342344337e-19,0.032373731186128935,0.5395621864354823,-6.938893903907228e-18,0.5395621864354823,0.0,-3.469446951953614e-18,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__no_deg,Apt4,149.81598662198513,41.17021268864032,109.54569750116923,0.0,9.22998531101981,8.330061743195381,0.0,0.0,1.0,9.22998531101981,1.0,0.2687983440807667,1.78,0.1799999999999999,1.78,22.983053450367347,0.0,0.10124703981252328,1.6874506635420548,0.0,1.6874506635420548,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__no_deg,Apt5,278.96668994884067,41.17021268864032,238.54552033099034,0.0,7.682493033744173,6.933449962954117,0.0,0.0,1.0,7.682493033744173,1.0,0.1448960434138682,2.4,0.24,2.4,48.935151588965944,0.0,0.12077854953705855,2.0129758256176427,0.0,2.0129758256176427,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__no_deg,Apt6,91.80731761505041,41.17021268864032,52.549059836532116,0.0,19.60979394996956,17.69783903984753,0.0,0.0,1.0,19.60979394996956,1.0,0.4276157805103163,1.2,0.1199999999999999,2.134634917502227,10.1613422424746,-1.6653345369377351e-18,0.036015780675282,0.6002630112547,-2.775557561562892e-17,0.6002630112547,0.0,-8.673617379884037e-18,,,,,,,,,,,,,,,,
