t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y
97,0.7635,0.0,0.25,0.05,0.7635,0.0,0.0,0.0,0.5,0,1
98,0.66925,0.0,0.25,0.05,0.66925,0.0,0.0,0.0,0.5,0,1
99,0.8805,0.0,0.25,0.05,0.8805,0.0,0.0,0.0,0.5,0,1
100,0.68225,0.0,0.25,0.05,0.68225,0.0,0.0,0.0,0.5,0,1
101,0.592,0.0,0.25,0.05,0.592,0.0,0.0,-0.0,0.5,0,1
102,0.6605,0.0,0.25,0.05,0.6605,0.0,0.0,0.0,0.5,0,1
103,0.64525,0.0,0.25,0.05,0.64525,0.0,0.0,-0.0,0.5,0,1
104,0.72575,0.0,0.25,0.05,0.72575,0.0,0.0,0.0,0.5,0,1
105,0.67375,0.0,0.25,0.05,0.67375,0.0,0.0,0.0,0.5,0,1
106,0.61125,0.0,0.25,0.05,0.61125,0.0,0.0,-0.0,0.5,0,1
107,0.61125,0.0,0.25,0.05,0.61125,0.0,0.0,-0.0,0.5,0,1
108,0.62875,0.0,0.25,0.05,0.62875,0.0,0.0,-0.0,0.5,0,1
109,0.8155,0.0,0.25,0.05,0.8155,0.0,0.0,0.0,0.5,0,1
110,0.769,0.0,0.25,0.05,0.769,0.0,0.0,0.0,0.5,0,1
111,0.5775,0.0,0.25,0.05,0.5775,0.0,0.0,-0.0,0.5,0,1
112,0.64,0.0,0.25,0.05,0.64,0.0,0.0,-0.0,0.5,0,1
113,0.77675,0.0,0.25,0.05,0.77675,0.0,0.0,0.0,0.5,0,1
114,0.64375,0.0,0.25,0.05,0.64375,0.0,0.0,0.0,0.5,0,1
115,0.666,0.0,0.25,0.05,0.666,0.0,0.0,0.0,0.5,0,1
116,0.645,0.0,0.25,0.05,0.645,0.0,0.0,-0.0,0.5,0,1
117,0.626,0.0,0.25,0.05,0.626,0.0,0.0,-0.0,0.5,0,1
118,0.63875,0.0,0.25,0.05,0.63875,0.0,0.0,-0.0,0.5,0,1
119,0.853,0.0,0.25,0.05,0.853,0.0,0.0,0.0,0.5,0,1
120,0.72275,0.0,0.25,0.05,0.72275,0.0,0.0,0.0,0.5,0,1
121,0.64275,0.0,0.25,0.05,0.64275,0.0,0.0,0.0,0.5,0,1
122,0.6605,0.0,0.25,0.05,0.6605,0.0,0.0,0.0,0.5,0,1
123,0.75575,0.0,0.25,0.05,0.75575,0.0,0.0,0.0,0.5,0,1
124,0.72725,0.0,0.25,0.05,0.72725,0.0,0.0,0.0,0.5,0,1
125,0.7865,0.0,0.25,0.05,0.7865,0.0,0.0,0.0,0.5,0,1
126,0.617,0.0,0.25,0.05,0.617,0.0,0.0,0.0,0.5,0,1
127,0.59025,0.0,0.25,0.05,0.59025,0.0,0.0,0.0,0.5,0,1
128,0.6775,0.0,0.25,0.05,0.6775,0.0,0.0,0.0,0.5,0,1
129,0.66825,0.0,0.25,0.05,0.66825,0.0,0.0,0.0,0.5,0,1
130,0.58375,0.0,0.25,0.05,0.58375,0.0,0.0,-0.0,0.5,0,1
131,0.73825,0.0036866302931002,0.25,0.05,0.7345633697068997,0.0,0.0,-0.0,0.5,0,1
132,0.99275,0.006717859645204867,0.25,0.05,0.9860321403547951,0.0,0.0,0.0,0.5,0,1
133,0.62625,0.008847912703440533,0.25,0.05,0.6174020872965594,0.0,0.0,0.0,0.5,0,1
134,0.716,0.010977965761676266,0.25,0.05,0.7050220342383237,0.0,0.0,0.0,0.5,0,1
135,0.63775,0.012452617878916331,0.25,0.05,0.6252973821210837,0.0,0.0,0.0,0.5,0,1
136,0.80525,0.013845344878532,0.25,0.05,0.7914046551214681,0.0,0.0,0.0,0.5,0,1
137,0.64425,0.015156146760523199,0.25,0.05,0.6290938532394768,0.0,0.0,0.0,0.5,0,1
138,0.57225,0.016385023524889932,0.25,0.05,0.5558649764751101,0.0,0.0,0.0,0.5,0,1
139,0.688,0.018023525877378998,0.25,0.05,0.669976474122621,0.0,0.0,0.0,0.5,0,1
140,0.652,0.03580127640188446,0.25,0.05,0.6161987235981156,0.0,0.0,0.0,0.5,0,1
141,0.6955,0.06414736709994413,0.25,0.05,0.6313526329000558,0.0,0.0,0.0,0.5,0,1
142,0.62875,0.078320412448974,0.25,0.05,0.550429587551026,0.0,0.0,0.0,0.5,0,1
143,0.608,0.10470030032404679,0.25,0.05,0.5032996996759532,0.0,0.0,0.0,0.5,0,1
144,0.735,0.1209214736136878,0.25,0.05,0.6140785263863122,0.0,0.0,0.0,0.5,0,1
145,0.65025,0.13067056261099733,0.25,0.05,0.5195794373890027,0.0,0.0,0.0,0.5,0,1
146,0.6735,0.14214007907842033,0.25,0.05,0.5313599209215797,0.0,0.0,0.0,0.5,0,1
147,0.658,0.13124403843436847,0.25,0.05,0.5267559615656315,0.0,0.0,-0.0,0.5,0,1
148,0.685,0.14467975772477812,0.25,0.05,0.5403202422752219,0.0,0.0,-0.0,0.5,0,1
149,0.675,0.16237558313165934,0.25,0.05,0.5126244168683407,0.0,0.0,0.0,0.5,0,1
150,0.785,0.16696338971862834,0.25,0.05,0.6180366102813717,0.0,0.0,-0.0,0.5,0,1
151,1.019,0.15893472819143245,0.25,0.05,0.8600652718085675,0.0,0.0,-0.0,0.5,0,1
152,1.0325,0.12042992290794113,0.25,0.05,0.9120700770920589,0.0,0.0,0.0,0.5,0,1
153,1.018,0.08348169485931434,0.25,0.05,0.9345183051406857,0.0,0.0,0.0,0.5,0,1
154,0.9405,0.06267271498270399,0.25,0.05,0.877827285017296,0.0,0.0,0.0,0.5,0,1
155,1.10175,0.0564464060432458,0.25,0.05,1.045303593956754,0.0,0.0,0.0,0.5,0,1
156,0.9315,0.057019881866617,0.25,0.05,0.874480118133383,0.0,0.0,0.0,0.5,0,1
157,0.9375,0.064475067570442,0.25,0.05,0.873024932429558,0.0,0.0,0.0,0.5,0,1
158,0.94625,0.06611356992293099,0.25,0.05,0.8801364300770691,0.0,0.0,-0.0,0.5,0,1
159,0.978,0.051203198515281,0.25,0.05,0.926796801484719,0.0,0.0,0.0,0.5,0,1
160,0.78425,0.03866865551874033,0.25,0.05,0.7455813444812597,0.0,0.0,0.0,0.5,0,1
161,0.77325,0.028428015815683997,0.25,0.05,0.744821984184316,0.0,0.0,-0.0,0.5,0,1
162,0.96975,0.025069085993081667,0.25,0.05,0.9446809140069183,0.0,0.0,0.0,0.5,0,1
163,0.8725,0.021546305935230332,0.25,0.05,0.8509536940647697,0.0,0.0,0.0,0.5,0,1
164,0.64225,0.0189247021712478,0.25,0.05,0.6233252978287522,0.0,0.0,-0.0,0.5,0,1
165,0.65675,0.015401922113396534,0.25,0.05,0.6413480778866034,0.0,0.0,0.0,0.5,0,1
166,0.662,0.010404489938305065,0.25,0.05,0.6515955100616949,0.0,0.0,-0.0,0.5,0,1
167,0.83525,0.006308234057082599,0.25,0.05,0.8289417659429175,0.0,0.0,0.0,0.5,0,1
168,0.72325,0.0025396786463579334,0.25,0.05,0.720710321353642,0.0,0.0,0.0,0.5,0,1
169,0.66225,0.0,0.25,0.05,0.66225,0.0,0.0,-0.0,0.5,0,1
170,0.6745,0.0,0.25,0.05,0.6745,0.0,0.0,0.0,0.5,0,1
171,0.6285,0.0,0.25,0.05,0.6285,0.0,0.0,0.0,0.5,0,1
172,0.676,0.0,0.25,0.05,0.676,0.0,0.0,0.0,0.5,0,1
173,0.61,0.0,0.25,0.05,0.61,0.0,0.0,0.0,0.5,0,1
174,0.77375,0.0,0.25,0.05,0.77375,0.0,0.0,0.0,0.5,0,1
175,0.70975,0.0,0.25,0.05,0.70975,0.0,0.0,0.0,0.5,0,1
176,0.712,0.0,0.25,0.05,0.712,0.0,0.0,0.0,0.5,0,1
177,0.641,0.0,0.25,0.05,0.641,0.0,0.0,0.0,0.5,0,1
178,0.68725,0.0,0.25,0.05,0.68725,0.0,0.0,0.0,0.5,0,1
179,0.68175,0.0,0.25,0.05,0.68175,0.0,0.0,0.0,0.5,0,1
180,0.6485,0.0,0.25,0.05,0.6485,0.0,0.0,0.0,0.5,0,1
181,0.67275,0.0,0.25,0.05,0.67275,0.0,0.0,0.0,0.5,0,1
182,0.7485,0.0,0.25,0.05,0.7485,0.0,0.0,0.0,0.5,0,1
183,0.66775,0.0,0.25,0.05,0.66775,0.0,0.0,0.0,0.5,0,1
184,0.621,0.0,0.25,0.05,0.621,0.0,0.0,0.0,0.5,0,1
185,0.678,0.0,0.25,0.05,0.678,0.0,0.0,0.0,0.5,0,1
186,0.65275,0.0,0.25,0.05,0.65275,0.0,0.0,-0.0,0.5,0,1
187,0.65975,0.0,0.25,0.05,0.65975,0.0,0.0,-0.0,0.5,0,1
188,0.67125,0.0,0.25,0.05,0.67125,0.0,0.0,0.0,0.5,0,1
189,0.5705,0.0,0.25,0.05,0.5705,0.0,0.0,0.0,0.5,0,1
190,0.76175,0.0,0.25,0.05,0.76175,0.0,0.0,0.0,0.5,0,1
191,0.624,0.0,0.25,0.05,0.624,0.0,0.0,-0.0,0.5,0,1
192,0.70775,0.0,0.25,0.05,0.70775,0.0,0.0,0.0,0.5,0,1
193,0.71275,0.0,0.25,0.05,0.71275,0.0,0.0,0.0,0.5,0,1
194,0.7755,0.0,0.25,0.05,0.7755,0.0,0.0,0.0,0.5,0,1
195,0.6365,0.0,0.25,0.05,0.6365,0.0,0.0,-0.0,0.5,0,1
196,0.754,0.0,0.25,0.05,0.754,0.0,0.0,-0.0,0.5,0,1
197,0.75775,0.0,0.25,0.05,0.75775,0.0,0.0,-0.0,0.5,0,1
198,0.66775,0.0,0.25,0.05,0.66775,0.0,0.0,0.0,0.5,0,1
199,0.67375,0.0,0.25,0.05,0.67375,0.0,0.0,0.0,0.5,0,1
200,0.57225,0.0,0.25,0.05,0.57225,0.0,0.0,0.0,0.5,0,1
201,0.77325,0.0,0.25,0.05,0.77325,0.0,0.0,0.0,0.5,0,1
202,0.62475,0.0,0.25,0.05,0.62475,0.0,0.0,0.0,0.5,0,1
203,0.73475,0.0,0.25,0.05,0.73475,0.0,0.0,0.0,0.5,0,1
204,0.75,0.0,0.25,0.05,0.75,0.0,0.0,0.0,0.5,0,1
205,0.75125,0.0,0.25,0.05,0.75125,0.0,0.0,0.0,0.5,0,1
206,0.616,0.0,0.25,0.05,0.616,0.0,0.0,0.0,0.5,0,1
207,0.76975,0.0,0.25,0.05,0.76975,0.0,0.0,0.0,0.5,0,1
208,0.794,0.0,0.25,0.05,0.794,0.0,0.0,0.0,0.5,0,1
209,0.6605,0.0,0.25,0.05,0.6605,0.0,0.0,0.0,0.5,0,1
210,0.70925,0.0,0.25,0.05,0.70925,0.0,0.0,0.0,0.5,0,1
211,0.63925,0.0,0.25,0.05,0.63925,0.0,0.0,0.0,0.5,0,1
212,0.65625,0.0,0.25,0.05,0.65625,0.0,0.0,0.0,0.5,0,1
213,0.66075,0.0,0.25,0.05,0.66075,0.0,0.0,-0.0,0.5,0,1
214,0.6745,0.0,0.25,0.05,0.6745,0.0,0.0,-0.0,0.5,0,1
215,0.6265,0.0,0.25,0.05,0.6265,0.0,0.0,-0.0,0.5,0,1
216,0.7795,0.0,0.25,0.05,0.7795,0.0,0.0,0.0,0.5,0,1
217,0.65775,0.0,0.25,0.05,0.65775,0.0,0.0,-0.0,0.5,0,1
218,0.65375,0.0,0.25,0.05,0.65375,0.0,0.0,0.0,0.5,0,1
219,0.6435,0.0,0.25,0.05,0.6435,0.0,0.0,0.0,0.5,0,1
220,0.56325,0.0,0.25,0.05,0.56325,0.0,0.0,-0.0,0.5,0,1
221,0.76025,0.0,0.25,0.05,0.76025,0.0,0.0,0.0,0.5,0,1
222,0.68425,0.0,0.25,0.05,0.68425,0.0,0.0,-0.0,0.5,0,1
223,0.729,0.0,0.25,0.05,0.729,0.0,0.0,-0.0,0.5,0,1
224,0.595,0.0,0.25,0.05,0.595,0.0,0.0,-0.0,0.5,0,1
225,0.6535,0.0,0.25,0.05,0.6535,0.0,0.0,-0.0,0.5,0,1
226,1.021,0.0,0.25,0.05,1.021,0.0,0.0,-0.0,0.5,0,1
227,1.06375,0.003604705175475733,0.25,0.05,1.0601452948245242,0.0,0.0,-0.0,0.5,0,1
228,1.19625,0.006799784762829332,0.25,0.05,1.1894502152371706,0.0,0.0,0.0,0.5,0,1
229,1.105,0.009093688056313866,0.25,0.05,1.095906311943686,0.0,0.0,0.0,0.5,0,1
230,1.28,0.011059890879300666,0.25,0.05,1.2689401091206993,0.0,0.0,0.0,0.5,0,1
231,1.15425,0.012534542996540799,0.25,0.05,1.141715457003459,0.0,0.0,0.0,0.5,0,1
232,1.21925,0.014336895584278666,0.25,0.05,1.2049131044157213,0.0,0.0,0.0,0.5,0,1
233,1.12225,0.015401922113396534,0.25,0.05,1.1068480778866034,0.0,0.0,-0.0,0.5,0,1
234,1.242,0.016712723995387667,0.25,0.05,1.2252872760046123,0.0,0.0,0.0,0.5,0,1
235,1.2415,0.018105450995003332,0.25,0.05,1.2233945490049967,0.0,0.0,-0.0,0.5,0,1
236,1.3095,0.036538602460504464,0.25,0.05,1.2729613975394956,0.0,0.0,-0.0,0.5,0,1
237,1.22225,0.06324619080607513,0.25,0.05,1.159003809193925,0.0,0.0,0.0,0.5,0,1
238,1.09575,0.07963121433096512,0.25,0.05,1.0161187856690348,0.0,0.0,0.0,0.5,0,1
239,1.11975,0.10633880267653567,0.25,0.05,1.0134111973234643,0.0,0.0,-0.0,0.5,0,1
240,1.37425,0.122232275495679,0.25,0.05,1.252017724504321,0.0,0.0,0.0,0.5,0,1
241,1.24375,0.1322271398458618,0.25,0.05,1.111522860154138,0.0,0.0,0.0,0.5,0,1
242,1.281,0.14238585443129365,0.25,0.05,1.1386141455687062,0.0,0.0,-0.0,0.5,0,1
