t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,P_share,E,c_grid,c_sell,P_simul_imp_exp
85,1.285,0.0,1.285,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
86,1.402,0.0,1.402,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
87,1.1885,0.0,1.1885,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
88,1.172,0.0,1.172,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
89,1.2995,0.0,1.2995,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
90,1.3145,0.0,1.3145,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
91,1.644,0.0,1.644,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
92,1.5195,0.0,1.5195,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
93,1.2875,0.0,1.2875,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
94,1.2415,0.0,1.2415,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
95,1.4585,0.0,1.4585,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
96,1.264,0.0,1.264,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
97,1.527,0.0,1.527,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
98,1.3385,0.0,1.3385,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
99,1.761,0.0,1.761,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
100,1.3645,0.0,1.3645,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
101,1.184,0.0,1.184,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
102,1.321,0.0,1.321,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
103,1.2905,0.0,1.2905,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
104,1.4515,0.0,1.4515,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
105,1.3475,0.0,1.3475,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
106,1.2225,0.0,1.2225,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
107,1.2225,0.0,1.2225,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
108,1.2575,0.0,1.2575,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
