case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
b8_pv01_equal_export__6months,Apt4,257.2241583279656,979.4698365954299,10.480206171186488,721.3606283916624,116.56672868705922,105.20147264007092,0.0,0.0,0.26351930254528044,0.9592565245841954,5.0,0.9999999999999996,6.005293577182224,-40.4519820372794,-0.022978718188263077,0.03284930329742094,0.4866563451469768,-1.5319145458842052,0.4866563451469768,1.5319145458842052,-4.5387738706326175e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__6months,Apt5,648.4265650043379,979.4698365954299,114.63426544205689,419.6779270995161,266.6626659859763,240.66305605234356,0.0,0.0,0.571525419753315,0.823211645498685,5.0,0.9999999999999992,10.0,5.770576043384388,-0.022355637405262356,0.11096585537493336,1.6439385981471608,-1.4903758270174905,1.6439385981471608,1.4903758270174905,-4.6460231495348836e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__6months,Apt6,1331.7539240806177,979.4698365954299,550.410293891603,149.8803185767974,494.8296187653121,446.5837309356941,0.0,0.0,0.8469781171641066,0.5867027054028909,5.0,0.9999999999999992,10.0,139.617960236125,-0.021189378417388795,0.15534071384604797,2.30134390883034,-1.4126252278259197,2.30134390883034,1.4126252278259197,-6.415267622683629e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__6months,Apt7,529.7299650049468,979.4698365954299,53.08645066494091,475.43958816939426,280.88958036953625,253.5028462835064,0.0,0.0,0.5145949671896077,0.8997858264173423,5.0,0.9999999999999994,5.712785572035043,-14.193033610629602,-0.023057543138081324,0.04051775325969226,0.6002630112547,-1.537169542538755,0.6002630112547,1.537169542538755,-4.2381029241589374e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__6months,Apt8,1534.7679399160165,979.4698365954299,664.8090038905202,66.72101796042472,438.8705908667604,396.0807082572513,0.0,0.0,0.9318804771034681,0.5668341860679609,5.0,0.9999999999999992,10.0,175.49516997281495,-0.022307352667157006,0.15074497648202115,2.2332589108447576,-1.4871568444771337,2.2332589108447576,1.4871568444771337,-6.7989017193959e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__6months,_COMMUNITY,6203.127544215111,7835.758692763439,1899.276994588591,3294.9811239055475,2430.020710065368,2193.093690833994,0.0,0.0,0.5794943089622498,0.6938194513895153,40.0,7.999999999999999,41.00732742187583,315.10592110458674,-0.16472927967705672,0.3628528230068301,5.375597377878964,-10.981951978470448,5.375597377878964,10.981951978470448,59.530321590548795,1899.276994588591,3294.9811239055475,0.0,0.0,0.5794943089622498,0.6938194513895153,0.031343675388140986,39.38824013807335,80.9898756387898,-43.724845497263715,175.49516997281495,219.22001547007866,2.0561943197991117,1.112445317104135,,,,,
b8_pv02_weighted_export__1month,Apt1,45.473381948372435,107.38645966208597,0.0,58.382408432443675,36.21199262840875,32.68132334713889,0.0,0.0,0.45633361397557776,1.0,5.0,1.0,5.490920891207482,-3.5029445059466204,-0.020390530531556608,1.3322676295501878e-17,8.881784197001252e-16,-1.359368702103774,0.0,1.359368702103774,-5.346851433829514e-15,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1month,Apt2,256.22147327771233,64.43187579725158,193.7378383928571,2.426878142891553e-15,19.981958075860337,18.033717163463955,0.0,0.0,1.0,0.2438657232180174,5.0,1.0,5.001881203463138,52.309216366071425,-1.915134717478395e-17,0.1178862779727143,1.746463377373545,-1.27675647831893e-15,1.746463377373545,1.27675647831893e-15,-4.099151573733195e-15,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1month,Apt3,126.44376928830724,42.95458386483439,84.60150296501322,1.663599813461758e-15,11.408385041439837,10.296067499899454,0.0,0.0,1.0,0.3309159997270291,5.0,1.0,5.0,22.84240580055357,-1.3322676295501878e-17,0.08717150811177538,1.2914297498040797,-8.881784197001252e-16,1.2914297498040797,8.881784197001252e-16,-3.600418574389863e-15,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1month,Apt4,63.713560131774756,42.95458386483439,22.498602836756312,1.280659606139878e-15,17.842323792984367,16.102697223168384,0.0,0.0,1.0,0.6468788937515991,5.0,1.0,5.0,6.074622765924206,-1.3114509478384662e-17,0.03809627386897154,0.564389242503282,-8.743006318923109e-16,0.564389242503282,8.743006318923109e-16,-7.488801245791876e-15,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1month,Apt5,160.61308241416606,42.95458386483439,118.59291810508311,0.00016194212267574794,9.582129370551666,8.64787175692288,0.0,0.0,0.9999962299222085,0.26162354695819456,5.0,1.0,5.0,32.020078171845086,-8.5503899559375e-06,0.1139029197890887,1.6874506635420548,-0.0005700259970625,1.6874506635420548,0.0005700259970625,-3.9473632695852245e-15,,,,,,,,,,,,,,,,,,,
