case,house,runset,scenario,variant,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import
b8_pv18_consumption_mean_pwl_export__6months,Apt1,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,1155.433377033558,1459.537477420249,567.8829625311864,846.3930059635297,262.5031482497176,236.9090912953701,0.0,0.0,0.420095051303828,1108.8961542132474,0.23672473500096264,0.5085108550445717,1.78,0.18,3.55,44.535767365779265,-0.03409265937364411,0.10478780264241269,1.746463377373545,-2.272843958242941,1.746463377373545,2.272843958242941,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,Apt2,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,510.47833559656897,644.8335983915877,205.8575862041016,331.5848376454098,93.77881802613118,85.1508066724208,0.0,0.0,0.48578231892307744,425.363655671541,0.22046739719235833,0.5967359007243143,1.78,0.18,3.155996787661266,15.728830509250644,-0.014584693822578725,0.07933483511869831,1.322247251978305,-0.9723129215052484,1.322247251978305,0.9723129215052484,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,Apt3,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,257.2241583279656,324.9242289861926,103.4549744716184,166.49008275747187,47.845767921779924,43.18080554940638,0.0,0.0,0.48760336132228926,214.3358506792518,0.2232280216779036,0.5978022626486297,1.2,0.12,2.14804523430574,7.896668605809546,-0.007349059365270975,0.03997591036972552,0.6662651728287586,-0.489937291018065,0.6662651728287586,0.489937291018065,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,Apt4,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,648.4265650043379,819.0890896786027,261.5601859047521,420.5455751338694,119.76549174510147,108.08835629995406,0.0,0.0,0.4865691895629025,540.3110668789709,0.22166026033282937,0.5966232723623803,1.78,0.18,3.1970089066398555,20.06925465342732,-0.01852596331235614,0.10077374696241442,1.6795624493735737,-1.2350642208237428,1.6795624493735737,1.2350642208237428,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,Apt5,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,1331.7539240806177,1682.2646822679542,645.4415248137807,965.4693232682607,312.6457408498082,282.16278111695186,0.0,0.0,0.4260895247669005,1278.1150641180689,0.2446147061614844,0.5153447546555088,2.4,0.24,4.8,49.633477662154114,-0.039295240907581866,0.12077854953705855,2.0129758256176427,-2.6196827271721244,2.0129758256176427,2.6196827271721244,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,Apt6,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,529.7299650049468,669.1521572816572,193.12046989807095,318.27809162777186,146.30328766163436,132.038717114625,0.0,0.0,0.5243561749531903,464.5813792894062,0.3149142307111199,0.6354360095595735,1.2,0.12,2.4,12.500364052602901,-0.01562713070631996,0.036015780675282,0.614742936951715,-1.041808713754664,0.614742936951715,1.041808713754664,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,Apt7,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,1534.7679399160165,1938.7109390950284,574.268455125866,938.4764191966716,407.53882162263085,367.8037865144244,0.0,0.0,0.5159276195992666,1346.0152408193026,0.30277429947566353,0.6258271754378122,2.4,0.24,4.8,38.79612577096381,-0.034499999999999996,0.11829896779636397,1.9716494632727328,-2.3,1.9716494632727328,2.3,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,Apt8,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,235.31327925109846,297.24651964216787,119.17302032666515,176.85773488126853,43.574623963754,39.326098127287985,0.0,0.0,0.4050132694768844,220.43235884502252,0.19767798245261095,0.49355590680669653,1.2,0.12,1.6869020980638516,6.7928567395297454,-0.0067578588680526595,0.024900678511494717,0.7114479574712775,-0.450523924536844,0.7114479574712775,0.450523924536844,0.0,,,,,,,,,
b8_pv18_consumption_mean_pwl_export__6months,_COMMUNITY,pwl_sweep,b8_pv18_consumption_mean_pwl_export,6months,6203.127544215111,7835.758692763439,2670.7591792760413,4164.095070474254,1433.9557000405578,1294.6604426904407,0.0,0.0,0.4685779343460485,5598.050770514811,0.2561526786418708,0.569449578420046,13.739999999999998,1.38,20.948961523370063,195.95334535951736,-0.166522717376547,0.2909410258254885,5.717200101918731,-11.1015144917698,5.717200101918731,11.1015144917698,13.14607224484812,2670.7591792760413,4164.095070474254,0.0,0.0,0.4685779343460485,5598.050770514811,0.2561526786418708,0.569449578420046,0.004922222994441456
b8_pv19_optimal_pwl_export__1month,Apt1,pwl_sweep,b8_pv19_optimal_pwl_export,1month,256.22147327771233,66.69419220738482,191.06066356926505,0.0,15.726999989102932,14.193617490165394,0.0,0.0,1.0,15.726999989102932,1.0,0.2543143979108302,1.78,0.1799999999999999,3.55,38.29161426955879,-8.326672684688674e-19,0.10478780264241269,1.746463377373545,-1.3877787807814457e-17,1.746463377373545,0.0,-3.469446951953614e-18,,,,,,,,,
b8_pv19_optimal_pwl_export__1month,Apt2,pwl_sweep,b8_pv19_optimal_pwl_export,1month,126.44376928830724,51.88490668190141,75.09509848460053,0.0,5.499855160971336,4.96361928277663,-3.469446951953614e-18,-6.686813514427757e-20,1.0,5.499855160971336,1.0,0.4060988619109058,1.78,0.18,3.5500000000000007,15.27721546340962,-3.3306690738754695e-18,0.08792868068301929,1.465478011383655,-5.551115123125783e-17,1.465478011383655,0.0,-2.42861286636753e-17,,,,,,,,,
